Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_FBS_AG,Men's Ice Hockey,Student-Athlete,Male-Black,1,3,3,4,4,3,3,3
Division I_FBS_AG,Men's Ice Hockey,Student-Athlete,Male-Other,37,44,55,54,38,45,55,59
Division I_FBS_AG,Men's Ice Hockey,Student-Athlete,Male-White,122,143,166,160,175,200,189,193
Division I_FBS_AG,Men's Lacrosse,Assistant Coach,Female-White,0,0,0,0,0,0,0,3
Division I_FBS_AG,Men's Lacrosse,Assistant Coach,Male-Other,2,1,0,0,3,0,3,2
Division I_FBS_AG,Men's Lacrosse,Assistant Coach,Male-White,16,14,21,25,23,25,20,21
Division I_FBS_AG,Men's Lacrosse,Head Coach,Male-Other,0,0,0,0,1,0,1,1
Division I_FBS_AG,Men's Lacrosse,Head Coach,Male-White,7,7,9,10,9,10,9,10
Division I_FBS_AG,Men's Lacrosse,Student-Athlete,Male-Black,8,8,13,11,13,11,12,16
Division I_FBS_AG,Men's Lacrosse,Student-Athlete,Male-Other,22,35,61,64,65,70,65,63
Division I_FBS_AG,Men's Lacrosse,Student-Athlete,Male-White,277,292,377,411,399,424,441,486
Division I_FBS_AG,Men's Rifle,Assistant Coach,Female-White,2,2,2,2,2,2,3,3
Division I_FBS_AG,Men's Rifle,Assistant Coach,Male-White,0,2,1,1,2,2,1,1
Division I_FBS_AG,Men's Rifle,Head Coach,Female-White,0,0,0,0,0,0,0,1
Division I_FBS_AG,Men's Rifle,Head Coach,Male-Other,1,1,1,1,1,1,1,1
Division I_FBS_AG,Men's Rifle,Head Coach,Male-White,2,3,3,3,3,3,3,2
Division I_FBS_AG,Men's Rifle,Student-Athlete,Female-Other,1,3,7,5,4,6,4,6
Division I_FBS_AG,Men's Rifle,Student-Athlete,Female-White,14,11,11,10,11,17,19,18
Division I_FBS_AG,Men's Rifle,Student-Athlete,Male-Other,2,4,1,4,5,1,4,4
Division I_FBS_AG,Men's Rifle,Student-Athlete,Male-White,19,28,28,28,28,24,19,18
Division I_FBS_AG,Men's Skiing,Assistant Coach,Female-White,2,5,4,2,2,2,2,1
Division I_FBS_AG,Men's Skiing,Assistant Coach,Male-White,4,4,4,4,4,3,3,3
Division I_FBS_AG,Men's Skiing,Head Coach,Male-Other,0,0,0,0,0,1,0,1
Division I_FBS_AG,Men's Skiing,Head Coach,Male-White,3,3,4,4,3,2,3,2
Division I_FBS_AG,Men's Skiing,Student-Athlete,Male-Other,6,8,6,7,6,4,3,21
Division I_FBS_AG,Men's Skiing,Student-Athlete,Male-White,27,27,30,26,30,31,30,13
Division I_FBS_AG,Men's Soccer,Assistant Coach,Female-White,3,2,0,0,1,0,0,0
Division I_FBS_AG,Men's Soccer,Assistant Coach,Male-Black,2,2,1,1,1,2,0,0
Division I_FBS_AG,Men's Soccer,Assistant Coach,Male-Other,6,4,9,10,12,11,14,19
Division I_FBS_AG,Men's Soccer,Assistant Coach,Male-White,43,45,53,60,55,56,51,53
Division I_FBS_AG,Men's Soccer,Head Coach,Male-Black,0,1,2,2,2,2,2,2
Division I_FBS_AG,Men's Soccer,Head Coach,Male-Other,4,4,5,5,6,4,7,5
Division I_FBS_AG,Men's Soccer,Head Coach,Male-White,19,19,20,22,21,23,21,23
Division I_FBS_AG,Men's Soccer,Student-Athlete,Male-Black,82,89,97,107,95,102,90,82
Division I_FBS_AG,Men's Soccer,Student-Athlete,Male-Other,155,173,187,216,265,284,294,324
Division I_FBS_AG,Men's Soccer,Student-Athlete,Male-White,416,421,509,530,509,481,467,443
Division I_FBS_AG,Men's Swimming,Assistant Coach,Female-Black,2,2,2,2,2,2,2,1
Division I_FBS_AG,Men's Swimming,Assistant Coach,Female-Other,2,3,2,1,1,3,4,7
Division I_FBS_AG,Men's Swimming,Assistant Coach,Female-White,32,33,33,35,28,27,40,38
Division I_FBS_AG,Men's Swimming,Assistant Coach,Male-Black,1,2,2,1,2,2,3,1
Division I_FBS_AG,Men's Swimming,Assistant Coach,Male-Other,4,8,9,12,15,18,18,21
Division I_FBS_AG,Men's Swimming,Assistant Coach,Male-White,93,102,102,106,106,109,116,120
Division I_FBS_AG,Men's Swimming,Head Coach,Female-White,2,2,2,3,1,2,2,3
Division I_FBS_AG,Men's Swimming,Head Coach,Male-Black,0,0,0,0,0,0,0,1
Division I_FBS_AG,Men's Swimming,Head Coach,Male-Other,2,0,0,3,3,4,4,8
Division I_FBS_AG,Men's Swimming,Head Coach,Male-White,40,41,43,44,44,41,41,38
Division I_FBS_AG,Men's Swimming,Student-Athlete,Male-Black,19,16,16,20,18,22,19,25
Division I_FBS_AG,Men's Swimming,Student-Athlete,Male-Other,238,273,292,326,351,383,389,406
Division I_FBS_AG,Men's Swimming,Student-Athlete,Male-White,989,1003,1021,1026,954,961,927,910
Division I_FBS_AG,Men's Tennis,Assistant Coach,Female-Other,0,0,0,0,0,1,0,1
Division I_FBS_AG,Men's Tennis,Assistant Coach,Female-White,1,0,0,1,0,0,1,0
Division I_FBS_AG,Men's Tennis,Assistant Coach,Male-Black,0,0,0,2,1,1,1,0
Division I_FBS_AG,Men's Tennis,Assistant Coach,Male-Other,11,9,14,10,16,18,20,15
Division I_FBS_AG,Men's Tennis,Assistant Coach,Male-White,47,46,47,51,43,40,40,55
Division I_FBS_AG,Men's Tennis,Head Coach,Male-Black,0,1,1,1,1,1,1,1
Division I_FBS_AG,Men's Tennis,Head Coach,Male-Other,3,6,6,6,7,7,7,8
Division I_FBS_AG,Men's Tennis,Head Coach,Male-White,47,43,44,45,45,44,46,45
Division I_FBS_AG,Men's Tennis,Student-Athlete,Male-Black,11,10,8,14,12,16,12,10
Division I_FBS_AG,Men's Tennis,Student-Athlete,Male-Other,273,275,272,264,267,268,285,311
Division I_FBS_AG,Men's Tennis,Student-Athlete,Male-White,262,250,287,283,300,273,277,265
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Female-Black,19,20,25,22,23,28,29,23
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Female-Other,2,1,1,4,8,12,5,7
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Female-White,37,39,36,42,42,30,30,44
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Male-Black,57,54,59,61,61,63,64,74
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Male-Other,13,7,11,17,22,29,30,25
Division I_FBS_AG,"Men's Track, Indoor",Assistant Coach,Male-White,142,145,162,161,162,151,158,152
Division I_FBS_AG,"Men's Track, Indoor",Head Coach,Female-Black,0,0,0,2,4,3,3,4
Division I_FBS_AG,"Men's Track, Indoor",Head Coach,Female-White,1,2,2,2,2,2,2,2
Division I_FBS_AG,"Men's Track, Indoor",Head Coach,Male-Black,12,15,18,15,12,12,15,15
Division I_FBS_AG,"Men's Track, Indoor",Head Coach,Male-Other,3,2,3,4,7,5,7,6
Division I_FBS_AG,"Men's Track, Indoor",Head Coach,Male-White,38,36,35,36,35,37,33,35
Division I_FBS_AG,"Men's Track, Indoor",Student-Athlete,Male-Black,584,606,632,662,608,614,623,610
Division I_FBS_AG,"Men's Track, Indoor",Student-Athlete,Male-Other,365,401,411,455,483,518,553,524
Division I_FBS_AG,"Men's Track, Indoor",Student-Athlete,Male-White,1478,1399,1557,1532,1430,1381,1318,1227
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Female-Black,23,21,26,25,25,29,30,24
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Female-Other,2,1,1,5,8,11,5,7
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Female-White,33,35,36,41,42,31,31,46
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Male-Black,59,60,64,63,66,65,64,74
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Male-Other,13,7,11,16,21,29,30,24
Division I_FBS_AG,"Men's Track, Outdoor",Assistant Coach,Male-White,148,152,166,172,169,153,159,154
Division I_FBS_AG,"Men's Track, Outdoor",Head Coach,Female-Black,0,0,1,2,3,3,3,4
Division I_FBS_AG,"Men's Track, Outdoor",Head Coach,Female-White,1,2,2,3,2,2,2,2
Division I_FBS_AG,"Men's Track, Outdoor",Head Coach,Male-Black,11,15,19,16,13,13,16,16
