Division_Subdivision,Sport,Title/Position,Gender_Race/Ethnicity,2012,2013,2014,2015,2016,2017,2018,2019
Division I_Subdivision,Women's Basketball,Assistant Coach,Male-Other,4,5,3,2,2,2,5,4
Division I_Subdivision,Women's Basketball,Assistant Coach,Male-White,64,64,63,63,59,63,51,45
Division I_Subdivision,Women's Basketball,Head Coach,Female-Black,13,12,11,10,10,8,14,14
Division I_Subdivision,Women's Basketball,Head Coach,Female-Other,0,1,1,0,1,2,1,1
Division I_Subdivision,Women's Basketball,Head Coach,Female-White,49,44,41,41,34,42,43,43
Division I_Subdivision,Women's Basketball,Head Coach,Male-Black,7,7,7,8,11,8,11,9
Division I_Subdivision,Women's Basketball,Head Coach,Male-Other,0,0,0,0,1,1,1,1
Division I_Subdivision,Women's Basketball,Head Coach,Male-White,31,38,38,36,38,35,29,31
Division I_Subdivision,Women's Basketball,Student-Athlete,Female-Black,687,720,681,668,611,587,589,593
Division I_Subdivision,Women's Basketball,Student-Athlete,Female-Other,184,202,204,211,276,308,350,341
Division I_Subdivision,Women's Basketball,Student-Athlete,Female-White,503,480,485,467,460,468,478,467
Division I_Subdivision,Women's Basketball,Student-Athlete,Male-Black,0,0,1,2,1,0,0,0
Division I_Subdivision,Women's Basketball,Student-Athlete,Male-Other,2,1,1,0,0,0,0,4
Division I_Subdivision,Women's Basketball,Student-Athlete,Male-White,3,18,3,4,4,0,0,2
Division I_Subdivision,Women's Bowling,Assistant Coach,Female-Black,0,0,0,0,0,1,1,1
Division I_Subdivision,Women's Bowling,Assistant Coach,Female-White,2,1,2,2,2,3,3,2
Division I_Subdivision,Women's Bowling,Assistant Coach,Male-Black,1,2,0,0,0,0,0,1
Division I_Subdivision,Women's Bowling,Assistant Coach,Male-White,2,1,1,1,1,0,0,0
Division I_Subdivision,Women's Bowling,Head Coach,Female-Black,1,0,0,0,1,1,1,1
Division I_Subdivision,Women's Bowling,Head Coach,Female-White,2,3,3,4,4,4,4,3
Division I_Subdivision,Women's Bowling,Head Coach,Male-Black,1,1,1,1,0,0,0,0
Division I_Subdivision,Women's Bowling,Head Coach,Male-White,2,2,1,1,1,1,1,2
Division I_Subdivision,Women's Bowling,Student-Athlete,Female-Black,5,9,5,10,11,10,13,9
Division I_Subdivision,Women's Bowling,Student-Athlete,Female-Other,8,9,9,10,9,9,9,10
Division I_Subdivision,Women's Bowling,Student-Athlete,Female-White,40,32,24,33,31,33,32,27
Division I_Subdivision,Women's Cross Country,Assistant Coach,Female-Black,8,7,9,11,13,10,8,10
Division I_Subdivision,Women's Cross Country,Assistant Coach,Female-Other,9,6,5,4,3,4,3,4
Division I_Subdivision,Women's Cross Country,Assistant Coach,Female-White,44,42,38,44,42,30,28,37
Division I_Subdivision,Women's Cross Country,Assistant Coach,Male-Black,10,13,8,9,10,12,13,18
Division I_Subdivision,Women's Cross Country,Assistant Coach,Male-Other,12,8,8,9,10,10,8,9
Division I_Subdivision,Women's Cross Country,Assistant Coach,Male-White,67,75,78,70,68,79,77,78
Division I_Subdivision,Women's Cross Country,Head Coach,Female-Black,4,4,6,6,5,5,4,2
Division I_Subdivision,Women's Cross Country,Head Coach,Female-Other,3,1,2,1,1,1,1,3
Division I_Subdivision,Women's Cross Country,Head Coach,Female-White,10,16,14,11,13,13,15,13
Division I_Subdivision,Women's Cross Country,Head Coach,Male-Black,10,7,8,7,9,9,9,13
Division I_Subdivision,Women's Cross Country,Head Coach,Male-Other,8,7,5,5,5,6,5,5
Division I_Subdivision,Women's Cross Country,Head Coach,Male-White,64,63,62,64,60,59,61,60
Division I_Subdivision,Women's Cross Country,Student-Athlete,Female-Black,114,137,123,137,123,101,99,106
Division I_Subdivision,Women's Cross Country,Student-Athlete,Female-Other,286,309,264,284,289,301,331,353
Division I_Subdivision,Women's Cross Country,Student-Athlete,Female-White,1043,1056,1057,1054,1042,1011,1014,1026
Division I_Subdivision,Women's Cross Country,Student-Athlete,Male-Other,1,0,0,0,2,0,0,0
Division I_Subdivision,Women's Cross Country,Student-Athlete,Male-White,9,0,0,0,0,0,0,0
Division I_Subdivision,Women's Rowing,Assistant Coach,Female-Black,0,0,0,1,1,2,2,1
Division I_Subdivision,Women's Rowing,Assistant Coach,Female-Other,1,3,2,0,1,1,3,3
Division I_Subdivision,Women's Rowing,Assistant Coach,Female-White,23,25,27,30,28,27,20,23
Division I_Subdivision,Women's Rowing,Assistant Coach,Male-Black,1,1,0,1,0,0,1,1
Division I_Subdivision,Women's Rowing,Assistant Coach,Male-Other,0,1,1,0,2,3,2,2
Division I_Subdivision,Women's Rowing,Assistant Coach,Male-White,12,17,14,8,8,10,12,13
Division I_Subdivision,Women's Rowing,Head Coach,Female-Other,0,0,0,0,0,0,0,1
Division I_Subdivision,Women's Rowing,Head Coach,Female-White,3,3,4,4,4,5,8,7
Division I_Subdivision,Women's Rowing,Head Coach,Male-Black,0,0,1,1,1,1,0,0
Division I_Subdivision,Women's Rowing,Head Coach,Male-Other,2,2,2,1,2,1,0,0
Division I_Subdivision,Women's Rowing,Head Coach,Male-White,13,14,12,13,12,14,11,11
Division I_Subdivision,Women's Rowing,Student-Athlete,Female-Black,11,21,22,15,18,13,11,14
Division I_Subdivision,Women's Rowing,Student-Athlete,Female-Other,103,163,154,218,204,224,240,210
Division I_Subdivision,Women's Rowing,Student-Athlete,Female-White,623,639,693,695,648,629,611,602
Division I_Subdivision,Women's Rowing,Student-Athlete,Male-Other,6,0,0,0,0,0,0,0
Division I_Subdivision,Women's Equestrian,Assistant Coach,Female-White,1,0,1,0,1,0,0,1
Division I_Subdivision,Women's Equestrian,Assistant Coach,Male-White,0,0,0,1,0,0,0,0
Division I_Subdivision,Women's Equestrian,Head Coach,Female-White,0,0,0,0,0,0,0,1
Division I_Subdivision,Women's Equestrian,Head Coach,Male-White,1,1,1,1,1,1,1,0
Division I_Subdivision,Women's Equestrian,Student-Athlete,Female-Other,2,1,1,0,2,1,2,1
Division I_Subdivision,Women's Equestrian,Student-Athlete,Female-White,36,41,45,41,39,36,37,35
Division I_Subdivision,Women's Fencing,Assistant Coach,Female-Black,0,0,1,0,0,0,0,0
Division I_Subdivision,Women's Fencing,Assistant Coach,Female-White,1,2,3,2,2,1,3,1
Division I_Subdivision,Women's Fencing,Assistant Coach,Male-Black,0,0,0,0,0,1,1,1
Division I_Subdivision,Women's Fencing,Assistant Coach,Male-Other,1,0,0,0,0,0,0,0
Division I_Subdivision,Women's Fencing,Assistant Coach,Male-White,6,4,5,6,7,5,8,8
Division I_Subdivision,Women's Fencing,Head Coach,Female-Other,0,1,0,0,0,0,0,0
Division I_Subdivision,Women's Fencing,Head Coach,Male-Other,0,0,0,2,0,0,0,0
Division I_Subdivision,Women's Fencing,Head Coach,Male-White,5,4,5,3,5,5,5,5
Division I_Subdivision,Women's Fencing,Student-Athlete,Female-Black,2,3,3,5,3,3,2,2
Division I_Subdivision,Women's Fencing,Student-Athlete,Female-Other,23,26,28,21,18,22,22,21
Division I_Subdivision,Women's Fencing,Student-Athlete,Female-White,30,24,30,34,32,31,25,30
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Female-Black,0,0,0,0,0,0,1,0
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Female-Other,3,1,3,2,1,4,4,1
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Female-White,26,24,25,27,29,23,28,31
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Male-Black,2,0,0,0,0,0,0,0
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Male-Other,2,1,3,3,2,2,3,3
Division I_Subdivision,Women's Field Hockey,Assistant Coach,Male-White,1,3,3,3,2,4,1,1
Division I_Subdivision,Women's Field Hockey,Head Coach,Female-Black,0,0,0,0,0,1,0,0
Division I_Subdivision,Women's Field Hockey,Head Coach,Female-Other,2,3,3,3,2,2,2,2
Division I_Subdivision,Women's Field Hockey,Head Coach,Female-White,12,11,11,11,11,11,14,13
Division I_Subdivision,Women's Field Hockey,Head Coach,Male-Other,1,1,1,0,1,1,0,1
Division I_Subdivision,Women's Field Hockey,Head Coach,Male-White,3,3,3,3,3,3,3,2
Division I_Subdivision,Women's Field Hockey,Student-Athlete,Female-Black,8,8,4,7,6,5,6,3
Division I_Subdivision,Women's Field Hockey,Student-Athlete,Female-Other,52,65,53,67,77,87,109,121
Division I_Subdivision,Women's Field Hockey,Student-Athlete,Female-White,344,329,340,298,302,302,314,271
Division I_Subdivision,Women's Golf,Assistant Coach,Female-Black,0,0,0,0,0,0,0,1
Division I_Subdivision,Women's Golf,Assistant Coach,Female-Other,1,3,4,3,3,2,4,5
Division I_Subdivision,Women's Golf,Assistant Coach,Female-White,25,21,27,25,23,19,19,22
Division I_Subdivision,Women's Golf,Assistant Coach,Male-Black,0,1,0,0,0,0,0,0
Division I_Subdivision,Women's Golf,Assistant Coach,Male-Other,1,2,1,2,2,4,1,1
Division I_Subdivision,Women's Golf,Assistant Coach,Male-White,20,16,14,14,15,23,19,20
Division I_Subdivision,Women's Golf,Head Coach,Female-Black,0,0,0,0,0,0,1,1
Division I_Subdivision,Women's Golf,Head Coach,Female-Other,4,4,5,5,4,3,4,6
Division I_Subdivision,Women's Golf,Head Coach,Female-White,29,29,27,29,30,31,28,28
Division I_Subdivision,Women's Golf,Head Coach,Male-Black,1,1,1,1,1,0,0,0
Division I_Subdivision,Women's Golf,Head Coach,Male-Other,1,1,1,0,0,1,2,1
Division I_Subdivision,Women's Golf,Head Coach,Male-White,29,30,28,24,23,26,28,29
Division I_Subdivision,Women's Golf,Student-Athlete,Female-Black,2,4,3,4,6,5,11,15
Division I_Subdivision,Women's Golf,Student-Athlete,Female-Other,166,164,179,166,165,185,198,213
Division I_Subdivision,Women's Golf,Student-Athlete,Female-White,325,358,315,304,270,285,291,275
Division I_Subdivision,Women's Gymnastics,Assistant Coach,Female-Other,0,1,0,0,0,0,0,0
Division I_Subdivision,Women's Gymnastics,Assistant Coach,Female-White,0,0,0,1,1,1,1,3
Division I_Subdivision,Women's Gymnastics,Assistant Coach,Male-Black,1,1,0,0,1,1,1,0
Division I_Subdivision,Women's Gymnastics,Assistant Coach,Male-Other,0,0,2,2,1,1,2,2
Division I_Subdivision,Women's Gymnastics,Assistant Coach,Male-White,3,2,3,2,2,2,1,0
Division I_Subdivision,Women's Gymnastics,Head Coach,Female-White,4,4,4,3,3,3,3,2
Division I_Subdivision,Women's Gymnastics,Head Coach,Male-White,1,1,1,1,1,1,1,1
Division I_Subdivision,Women's Gymnastics,Student-Athlete,Female-Black,9,9,9,6,2,0,1,2
Division I_Subdivision,Women's Gymnastics,Student-Athlete,Female-Other,14,16,15,14,15,20,14,10
Division I_Subdivision,Women's Gymnastics,Student-Athlete,Female-White,42,42,42,29,31,28,32,35
Division I_Subdivision,Women's Ice Hockey,Assistant Coach,Female-Other,1,0,0,0,2,3,3,1
Division I_Subdivision,Women's Ice Hockey,Assistant Coach,Female-White,8,7,7,7,3,6,2,6
Division I_Subdivision,Women's Ice Hockey,Assistant Coach,Male-Other,0,0,0,0,0,0,0,1
Division I_Subdivision,Women's Ice Hockey,Assistant Coach,Male-White,4,4,5,4,6,4,5,3
Division I_Subdivision,Women's Ice Hockey,Head Coach,Female-White,0,0,0,0,1,1,1,1
Division I_Subdivision,Women's Ice Hockey,Head Coach,Male-Other,1,0,0,0,0,0,0,0
Division I_Subdivision,Women's Ice Hockey,Head Coach,Male-White,5,5,5,6,4,4,4,4
Division I_Subdivision,Women's Ice Hockey,Student-Athlete,Female-Black,0,0,1,1,0,0,0,0
Division I_Subdivision,Women's Ice Hockey,Student-Athlete,Female-Other,39,53,28,30,38,43,48,57
Division I_Subdivision,Women's Ice Hockey,Student-Athlete,Female-White,108,71,86,89,78,75,76,62
Division I_Subdivision,Women's Ice Hockey,Student-Athlete,Male-White,0,2,0,0,0,0,0,0
Division I_Subdivision,Women's Lacrosse,Assistant Coach,Female-Black,0,0,0,0,0,1,3,0
Division I_Subdivision,Women's Lacrosse,Assistant Coach,Female-Other,1,3,3,2,3,5,3,2
Division I_Subdivision,Women's Lacrosse,Assistant Coach,Female-White,47,42,46,47,50,45,51,58
Division I_Subdivision,Women's Lacrosse,Assistant Coach,Male-Other,0,1,0,1,1,1,1,0
Division I_Subdivision,Women's Lacrosse,Assistant Coach,Male-White,4,9,6,5,5,5,6,5
Division I_Subdivision,Women's Lacrosse,Head Coach,Female-Black,0,1,1,2,2,2,1,2
Division I_Subdivision,Women's Lacrosse,Head Coach,Female-Other,2,1,1,1,1,1,2,2
Division I_Subdivision,Women's Lacrosse,Head Coach,Female-White,21,23,24,23,25,27,27,26
Division I_Subdivision,Women's Lacrosse,Head Coach,Male-Black,0,0,0,0,0,0,1,0
Division I_Subdivision,Women's Lacrosse,Head Coach,Male-Other,0,1,1,1,1,0,0,0
Division I_Subdivision,Women's Lacrosse,Head Coach,Male-White,4,6,4,3,2,1,1,2
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Female-Black,13,19,17,12,15,15,16,13
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Female-Other,60,79,76,86,85,106,109,105
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Female-White,633,711,723,736,766,783,823,813
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Male-Black,1,0,0,0,0,0,0,0
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Male-Other,2,0,0,0,0,0,0,0
Division I_Subdivision,Women's Lacrosse,Student-Athlete,Male-White,4,0,0,0,0,0,0,0
Division I_Subdivision,Women's Rugby,Assistant Coach,Female-White,0,1,1,1,1,1,2,2
Division I_Subdivision,Women's Rugby,Assistant Coach,Male-White,0,0,0,0,1,1,0,1
Division I_Subdivision,Women's Rugby,Head Coach,Female-Black,0,0,0,0,0,0,1,1
Division I_Subdivision,Women's Rugby,Head Coach,Female-White,0,1,1,1,1,1,1,1
Division I_Subdivision,Women's Rugby,Student-Athlete,Female-Black,0,1,1,0,0,0,9,8
Division I_Subdivision,Women's Rugby,Student-Athlete,Female-Other,7,3,2,7,5,5,9,12
Division I_Subdivision,Women's Rugby,Student-Athlete,Female-White,17,19,19,17,18,17,27,33
Division I_Subdivision,Women's Softball,Assistant Coach,Female-Black,3,3,1,1,5,3,2,1
Division I_Subdivision,Women's Softball,Assistant Coach,Female-Other,11,9,11,10,9,10,18,19
Division I_Subdivision,Women's Softball,Assistant Coach,Female-White,95,108,99,101,91,102,102,91
Division I_Subdivision,Women's Softball,Assistant Coach,Male-Black,3,5,5,1,1,2,1,1
Division I_Subdivision,Women's Softball,Assistant Coach,Male-Other,1,2,3,4,3,4,4,5
Division I_Subdivision,Women's Softball,Assistant Coach,Male-White,39,31,34,30,33,36,33,36
Division I_Subdivision,Women's Softball,Head Coach,Female-Black,1,1,1,1,1,0,1,1
Division I_Subdivision,Women's Softball,Head Coach,Female-Other,3,5,5,4,6,6,3,2
Division I_Subdivision,Women's Softball,Head Coach,Female-White,39,44,40,40,41,39,43,42
Division I_Subdivision,Women's Softball,Head Coach,Male-Black,1,1,1,2,1,1,1,1
Division I_Subdivision,Women's Softball,Head Coach,Male-Other,1,2,1,2,2,3,3,4
Division I_Subdivision,Women's Softball,Head Coach,Male-White,30,25,26,24,21,25,23,24
Division I_Subdivision,Women's Softball,Student-Athlete,Female-Black,62,53,52,60,53,44,47,49
Division I_Subdivision,Women's Softball,Student-Athlete,Female-Other,254,275,281,327,340,349,363,395
Division I_Subdivision,Women's Softball,Student-Athlete,Female-White,1158,1151,1154,1110,1041,1092,1079,1106
Division I_Subdivision,Women's Softball,Student-Athlete,Male-Other,0,0,0,0,4,0,0,4
Division I_Subdivision,Women's Softball,Student-Athlete,Male-White,0,0,0,0,17,0,0,0
Division I_Subdivision,Women's Skiing,Assistant Coach,Female-Other,1,0,0,0,0,0,0,0
Division I_Subdivision,Women's Skiing,Assistant Coach,Female-White,0,0,0,0,0,1,0,0
Division I_Subdivision,Women's Skiing,Assistant Coach,Male-Other,0,2,2,2,2,2,1,1
Division I_Subdivision,Women's Skiing,Assistant Coach,Male-White,4,4,5,6,5,3,4,5
Division I_Subdivision,Women's Skiing,Head Coach,Male-White,3,4,4,3,4,4,4,3
Division I_Subdivision,Women's Skiing,Student-Athlete,Female-Other,2,15,13,14,16,16,14,15
Division I_Subdivision,Women's Skiing,Student-Athlete,Female-White,32,21,19,21,17,21,21,21
Division I_Subdivision,Women's Soccer,Assistant Coach,Female-Black,1,2,3,3,2,0,0,1
Division I_Subdivision,Women's Soccer,Assistant Coach,Female-Other,9,12,13,10,9,9,10,10
Division I_Subdivision,Women's Soccer,Assistant Coach,Female-White,77,87,79,84,76,75,80,79
Division I_Subdivision,Women's Soccer,Assistant Coach,Male-Black,4,6,6,5,6,7,8,8
Division I_Subdivision,Women's Soccer,Assistant Coach,Male-Other,19,14,11,9,15,14,14,10
Division I_Subdivision,Women's Soccer,Assistant Coach,Male-White,71,66,68,74,78,85,89,87
Division I_Subdivision,Women's Soccer,Head Coach,Female-Other,3,5,3,3,3,3,1,1
Division I_Subdivision,Women's Soccer,Head Coach,Female-White,22,25,26,24,23,22,23,24
Division I_Subdivision,Women's Soccer,Head Coach,Male-Black,2,2,3,2,2,2,2,2
Division I_Subdivision,Women's Soccer,Head Coach,Male-Other,9,11,6,6,4,6,9,10
Division I_Subdivision,Women's Soccer,Head Coach,Male-White,54,49,51,53,56,55,55,56
Division I_Subdivision,Women's Soccer,Student-Athlete,Female-Black,88,95,106,111,125,106,115,121
Division I_Subdivision,Women's Soccer,Student-Athlete,Female-Other,432,483,473,507,561,571,613,648
Division I_Subdivision,Women's Soccer,Student-Athlete,Female-White,1792,1843,1784,1769,1721,1751,1748,1773
Division I_Subdivision,Women's Soccer,Student-Athlete,Male-Other,1,0,0,0,0,2,0,0
Division I_Subdivision,Women's Soccer,Student-Athlete,Male-White,1,0,0,0,16,1,0,23
Division I_Subdivision,Women's Sand Volleyball,Assistant Coach,Female-Black,0,0,0,0,2,1,0,0
Division I_Subdivision,Women's Sand Volleyball,Assistant Coach,Female-Other,1,1,0,1,2,0,2,1
Division I_Subdivision,Women's Sand Volleyball,Assistant Coach,Female-White,3,7,9,7,10,12,6,9
Division I_Subdivision,Women's Sand Volleyball,Assistant Coach,Male-Other,2,3,4,7,2,2,2,1
Division I_Subdivision,Women's Sand Volleyball,Assistant Coach,Male-White,6,7,9,10,12,13,12,13
Division I_Subdivision,Women's Sand Volleyball,Head Coach,Female-Black,0,0,0,1,1,2,1,1
Division I_Subdivision,Women's Sand Volleyball,Head Coach,Female-White,2,2,3,2,5,3,6,6
Division I_Subdivision,Women's Sand Volleyball,Head Coach,Male-Other,0,0,0,0,1,1,1,1
Division I_Subdivision,Women's Sand Volleyball,Head Coach,Male-White,5,11,10,11,9,10,9,9
Division I_Subdivision,Women's Sand Volleyball,Student-Athlete,Female-Black,1,9,12,11,19,18,13,11
Division I_Subdivision,Women's Sand Volleyball,Student-Athlete,Female-Other,18,31,44,52,59,66,61,94
Division I_Subdivision,Women's Sand Volleyball,Student-Athlete,Female-White,85,131,132,142,160,176,211,201
Division I_Subdivision,Women's Swimming,Assistant Coach,Female-Black,0,0,0,2,0,1,0,0
Division I_Subdivision,Women's Swimming,Assistant Coach,Female-Other,9,6,5,3,3,3,5,4
Division I_Subdivision,Women's Swimming,Assistant Coach,Female-White,42,46,41,36,39,50,54,48
Division I_Subdivision,Women's Swimming,Assistant Coach,Male-Black,2,2,1,2,1,2,2,2
Division I_Subdivision,Women's Swimming,Assistant Coach,Male-Other,6,6,7,3,3,5,6,7
Division I_Subdivision,Women's Swimming,Assistant Coach,Male-White,47,55,55,61,59,48,54,62
Division I_Subdivision,Women's Swimming,Head Coach,Female-Black,0,0,0,1,1,1,0,0
Division I_Subdivision,Women's Swimming,Head Coach,Female-White,3,3,4,7,5,3,4,3
Division I_Subdivision,Women's Swimming,Head Coach,Male-Black,1,1,1,1,1,1,1,0
Division I_Subdivision,Women's Swimming,Head Coach,Male-Other,2,2,1,0,1,1,1,2
Division I_Subdivision,Women's Swimming,Head Coach,Male-White,42,42,43,39,41,42,45,43
Division I_Subdivision,Women's Swimming,Student-Athlete,Female-Black,8,9,10,11,9,14,15,14
Division I_Subdivision,Women's Swimming,Student-Athlete,Female-Other,168,205,199,199,210,228,263,291
Division I_Subdivision,Women's Swimming,Student-Athlete,Female-White,965,956,963,909,952,980,1001,946
Division I_Subdivision,Women's Swimming,Student-Athlete,Male-White,0,0,0,0,0,0,0,14
Division I_Subdivision,Women's Tennis,Assistant Coach,Female-Black,3,1,1,1,1,2,3,1
Division I_Subdivision,Women's Tennis,Assistant Coach,Female-Other,13,14,18,19,15,16,22,16
Division I_Subdivision,Women's Tennis,Assistant Coach,Female-White,28,25,31,23,24,19,20,21
Division I_Subdivision,Women's Tennis,Assistant Coach,Male-Black,4,2,5,3,3,1,1,1
Division I_Subdivision,Women's Tennis,Assistant Coach,Male-Other,10,17,6,8,16,17,18,17
Division I_Subdivision,Women's Tennis,Assistant Coach,Male-White,29,37,32,26,24,27,26,35
Division I_Subdivision,Women's Tennis,Head Coach,Female-Black,2,1,1,2,2,2,3,3
Division I_Subdivision,Women's Tennis,Head Coach,Female-Other,4,7,4,5,6,9,6,5
Division I_Subdivision,Women's Tennis,Head Coach,Female-White,17,17,17,22,20,20,17,14
Division I_Subdivision,Women's Tennis,Head Coach,Male-Black,4,5,5,4,3,2,2,4
Division I_Subdivision,Women's Tennis,Head Coach,Male-Other,11,15,14,11,9,8,10,11
Division I_Subdivision,Women's Tennis,Head Coach,Male-White,51,46,45,42,45,41,44,44
Division I_Subdivision,Women's Tennis,Student-Athlete,Female-Black,45,35,34,33,33,32,28,33
Division I_Subdivision,Women's Tennis,Student-Athlete,Female-Other,333,358,368,385,392,382,390,393
Division I_Subdivision,Women's Tennis,Student-Athlete,Female-White,412,419,375,330,292,292,282,273
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Female-Black,21,17,22,24,28,25,22,25
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Female-Other,12,11,7,5,3,9,8,6
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Female-White,44,47,47,50,47,39,51,59
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Male-Black,36,38,31,27,28,38,44,41
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Male-Other,18,19,22,19,14,20,15,15
Division I_Subdivision,"Women's Track, Indoor",Assistant Coach,Male-White,106,121,130,114,129,132,140,139
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Female-Black,5,6,5,5,5,6,5,3
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Female-Other,0,0,0,0,0,0,0,2
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Female-White,6,9,9,10,8,10,12,9
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Male-Black,10,9,9,9,10,10,10,13
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Male-Other,6,6,4,4,3,5,5,5
Division I_Subdivision,"Women's Track, Indoor",Head Coach,Male-White,48,48,49,48,51,48,52,54
Division I_Subdivision,"Women's Track, Indoor",Student-Athlete,Female-Black,600,668,642,642,618,633,635,635
Division I_Subdivision,"Women's Track, Indoor",Student-Athlete,Female-Other,380,454,390,444,455,463,520,588
Division I_Subdivision,"Women's Track, Indoor",Student-Athlete,Female-White,1350,1408,1433,1401,1445,1460,1459,1480
Division I_Subdivision,"Women's Track, Indoor",Student-Athlete,Male-Other,0,0,0,0,2,0,0,0
Division I_Subdivision,"Women's Track, Indoor",Student-Athlete,Male-White,0,10,0,0,0,0,0,0
Division I_Subdivision,Women's Triathlon,Head Coach,Male-White,0,0,0,0,0,0,0,1
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Female-Black,25,19,24,26,28,28,20,24
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Female-Other,12,11,8,5,3,10,9,8
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Female-White,49,52,49,60,51,41,53,64
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Male-Black,32,38,30,29,33,42,41,43
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Male-Other,18,20,24,21,15,18,17,15
Division I_Subdivision,"Women's Track, Outdoor",Assistant Coach,Male-White,109,129,133,115,136,141,141,139
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Female-Black,5,6,5,5,6,5,4,3
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Female-Other,0,0,1,0,0,0,0,2
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Female-White,6,9,11,11,11,12,12,10
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Male-Black,11,10,9,9,10,10,11,13
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Male-Other,7,8,5,6,5,7,6,5
Division I_Subdivision,"Women's Track, Outdoor",Head Coach,Male-White,50,53,52,52,51,51,55,58
Division I_Subdivision,"Women's Track, Outdoor",Student-Athlete,Female-Black,612,673,646,666,633,653,646,645
Division I_Subdivision,"Women's Track, Outdoor",Student-Athlete,Female-Other,428,516,477,528,537,553,570,650
Division I_Subdivision,"Women's Track, Outdoor",Student-Athlete,Female-White,1462,1500,1550,1516,1544,1533,1538,1584
Division I_Subdivision,"Women's Track, Outdoor",Student-Athlete,Male-Other,0,0,0,0,0,1,0,0
Division I_Subdivision,Women's Volleyball,Assistant Coach,Female-Black,9,5,3,7,12,9,14,14
Division I_Subdivision,Women's Volleyball,Assistant Coach,Female-Other,12,12,17,9,12,8,9,10
Division I_Subdivision,Women's Volleyball,Assistant Coach,Female-White,65,73,63,64,65,62,57,59
Division I_Subdivision,Women's Volleyball,Assistant Coach,Male-Black,4,1,2,3,5,4,2,3
Division I_Subdivision,Women's Volleyball,Assistant Coach,Male-Other,26,21,18,18,22,21,25,24
Division I_Subdivision,Women's Volleyball,Assistant Coach,Male-White,52,67,70,68,57,70,73,77
Division I_Subdivision,Women's Volleyball,Head Coach,Female-Black,5,6,6,5,5,6,4,2
Division I_Subdivision,Women's Volleyball,Head Coach,Female-Other,2,4,3,3,4,5,7,6
Division I_Subdivision,Women's Volleyball,Head Coach,Female-White,30,27,27,25,28,26,30,36
Division I_Subdivision,Women's Volleyball,Head Coach,Male-Black,2,2,2,2,2,3,2,1
Division I_Subdivision,Women's Volleyball,Head Coach,Male-Other,9,6,9,8,7,10,9,11
Division I_Subdivision,Women's Volleyball,Head Coach,Male-White,43,50,43,44,41,39,40,35
Division I_Subdivision,Women's Volleyball,Student-Athlete,Female-Black,112,119,133,135,123,148,132,146
Division I_Subdivision,Women's Volleyball,Student-Athlete,Female-Other,217,258,257,275,330,314,342,384
Division I_Subdivision,Women's Volleyball,Student-Athlete,Female-White,993,1000,971,898,866,897,922,901
Division I_Subdivision,Women's Volleyball,Student-Athlete,Male-Other,0,0,3,1,0,0,0,0
Division I_Subdivision,Women's Volleyball,Student-Athlete,Male-White,3,0,0,0,1,0,0,0
Division I_Subdivision,Women's Water Polo,Assistant Coach,Female-Other,0,0,1,1,5,3,2,1
Division I_Subdivision,Women's Water Polo,Assistant Coach,Female-White,11,9,5,5,7,9,9,6
Division I_Subdivision,Women's Water Polo,Assistant Coach,Male-Other,1,2,1,2,1,0,0,1
Division I_Subdivision,Women's Water Polo,Assistant Coach,Male-White,6,5,9,7,4,6,7,5
Division I_Subdivision,Women's Water Polo,Head Coach,Female-Other,0,0,0,1,1,0,0,0
Division I_Subdivision,Women's Water Polo,Head Coach,Female-White,4,3,2,2,2,3,4,2
Division I_Subdivision,Women's Water Polo,Head Coach,Male-Other,0,0,1,0,0,0,0,0
Division I_Subdivision,Women's Water Polo,Head Coach,Male-White,8,9,9,9,9,10,9,10
